ratio15/10Delta_Point_19_x/Delta_Point_19_y,3+/-4
FNM300Delta_Point_20_x/Delta_Point_20_y,(1.7+/-1.6)e+02
Sum450_Delta_Point_21_x/Delta_Point_21_y,
Sum150_Delta_Point_22_x/Delta_Point_22_y,
ratio15/10Delta_Point_22_x/Delta_Point_22_y,3+/-7
FNM450Delta_Point_23_x/Delta_Point_23_y,(6+/-4)e+02
Sum450_Delta_Point_24_x/Delta_Point_24_y,
RMSDelta_Point_25_x/Delta_Point_25_y,1.6845518072466374
ratio10/5Delta_Point_25_x/Delta_Point_25_y,2.1+/-3.2
FNM300Delta_Point_26_x/Delta_Point_26_y,(3.1+/-1.4)e+02
Sum450_Delta_Point_27_x/Delta_Point_27_y,
Sum150_Delta_Point_28_x/Delta_Point_28_y,
ratio15/10Delta_Point_28_x/Delta_Point_28_y,
FNM450Delta_Point_29_x/Delta_Point_29_y,(6.2+/-3.0)e+02
Sum450_Delta_Point_30_x/Delta_Point_30_y,
Sum150_Delta_Point_31_x/Delta_Point_31_y,
ratio15/10Delta_Point_31_x/Delta_Point_31_y,2.8+/-2.7
FNM450Delta_Point_32_x/Delta_Point_32_y,863+/-31
FNM150Delta_Point_33_x/Delta_Point_33_y,(3.2+/-0.8)e+02
Sum150_Delta_Point_34_x/Delta_Point_34_y,
ratio15/10Delta_Point_34_x/Delta_Point_34_y,3.0+/-1.1
FNM300Delta_Point_35_x/Delta_Point_35_y,(8+/-4)e+02
Sum300_Delta_Point_36_x/Delta_Point_36_y,
RMSDelta_Point_37_x/Delta_Point_37_y,0.15705407199796886
ratio10/5Delta_Point_37_x/Delta_Point_37_y,1.9+/-1.8
FNM300Delta_Point_38_x/Delta_Point_38_y,(5+/-4)e+02
Sum450_Delta_Point_39_x/Delta_Point_39_y,
Sum150_Delta_Point_40_x/Delta_Point_40_y,
ratio15/10Delta_Point_40_x/Delta_Point_40_y,2.8+/-3.5
FNM450Delta_Point_41_x/Delta_Point_41_y,(1.3+/-1.0)e+03
FNM150Delta_Point_42_x/Delta_Point_42_y,(4+/-8)e+02
Sum300_Delta_Point_43_x/Delta_Point_43_y,
RMSDelta_Point_44_x/Delta_Point_44_y,1.009759072848816
ratio10/5Delta_Point_44_x/Delta_Point_44_y,2.0+/-2.5
FNM150Delta_Point_45_x/Delta_Point_45_y,(4+/-4)e+02
Sum300_Delta_Point_46_x/Delta_Point_46_y,
NewColumnDelta_Point_46_x/Delta_Point_46_y,2.0+/-2.4
FNM450Delta_Point_47_x/Delta_Point_47_y,(5+/-9)e+02
FNM150Delta_Point_48_x/Delta_Point_48_y,(5+/-8)e+02
Sum300_Delta_Point_49_x/Delta_Point_49_y,
RMSDelta_Point_50_x/Delta_Point_50_y,0.9634353768388887
ratio10/5Delta_Point_50_x/Delta_Point_50_y,1.8+/-1.9
FNM300Delta_Point_51_x/Delta_Point_51_y,(9+/-4)e+02
Sum300_Delta_Point_52_x/Delta_Point_52_y,
NewColumnDelta_Point_52_x/Delta_Point_52_y,2.0+/-3.3
FNM450Delta_Point_53_x/Delta_Point_53_y,(5+/-6)e+02
